index,car,modern,downtown,fast,highway,drive,traffic,wheel,industry,formal,steel,boy,finance,contemporary,cityscape,storm,automotive,asphalt,bridge,cowboy,country,farm,military,financial,technology
Acura,0,10,4,0,0,0,0,0,0,3,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
Audi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
BMW,0,4,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buick,10,0,0,1,6,7,2,9,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0
Cadillac,10,5,6,0,9,0,7,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0
Chevrolet,9,0,0,0,0,0,0,1,6,0,0,2,0,0,0,0,0,0,0,10,8,4,0,0,0
Chrysler,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,4,0,0
Ferrari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,0,2,1,0,0
GMC,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honda,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai,10,5,7,9,1,6,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Infiniti,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Kia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamborghini,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lexus,0,8,0,0,0,0,0,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0
Lincoln,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
Mazda,10,3,0,9,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mercedes Benz,10,0,0,7,0,9,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0
Mitsubishi,10,9,1,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nissan,3,0,0,0,0,9,0,2,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4
Pontiac,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,5,2,0,0,0,0,0,0
Porsche,0,0,8,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,3,0
Subaru,0,5,0,0,0,0,0,0,3,0,9,8,0,7,0,0,0,0,0,0,4,0,0,0,10
Toyota,10,0,0,8,0,9,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Volkswagen,5,4,10,0,2,0,6,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0
Volvo,10,0,0,4,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
