index,book,industry,glamour,shopping,money,cityscape,steel,technology,empty,stock,commerce,dress,togetherness,elegant,modern,downtown,car,skyscraper,equipment,container,shop,supermarket,finance,antique,christmas
Amazon,3,1,0,0,0,4,0,0,0,0,0,0,0,0,10,9,8,5,0,0,0,0,0,0,0
Barnes  Noble,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Lots,0,9,0,0,0,0,10,5,2,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0
BJs,0,0,2,10,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,9,3,0,0,0
Costco,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0
Ebay,2,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0
Kmart,9,2,0,6,7,0,0,0,10,0,4,0,0,0,0,0,3,0,0,0,0,0,0,5,0
Macys,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10
Marshalls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meijer,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Nordstrom,0,0,10,0,0,4,0,0,0,0,0,6,0,0,7,8,0,9,0,0,0,0,1,0,0
Ross,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Sams Club,10,2,0,0,0,4,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEARS,0,9,0,0,0,0,8,5,0,3,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0
Target,0,0,6,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,4
TJ Maxx,0,0,10,2,3,0,0,0,0,0,5,7,0,9,0,0,0,0,0,0,0,0,0,0,0
Walmart,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
