index,baby,healthcare,tennis,nude,medicine,togetherness,son,sleep,boy,industry,sit,floral,blooming,season,joy,athlete,skin,doctor,gerbera,pillow,reclining,classroom,book,study,school
Advil,9,7,5,4,3,0,0,10,0,0,0,0,0,0,0,0,0,8,6,2,1,0,0,0,0
Aleve,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,8,7
Band Aid,7,0,0,0,0,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayer,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benadryl,10,0,0,0,0,0,0,8,0,0,0,9,6,3,0,0,0,0,0,0,0,0,0,0,0
CVS,8,0,0,0,9,10,7,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Motrin,8,0,0,4,0,0,0,0,0,0,0,7,6,1,9,5,0,0,0,0,0,0,0,0,0
Rite Aid,10,8,0,0,0,0,9,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0
Tylenol,0,7,9,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
Walgreens,10,9,0,0,8,4,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
